| relid  | schemaname          | relname                    | seq_scan | last_seq_scan                 | seq_tup_read | idx_scan | last_idx_scan                 | idx_tup_fetch | n_tup_ins | n_tup_upd | n_tup_del | n_tup_hot_upd | n_tup_newpage_upd | n_live_tup | n_dead_tup | n_mod_since_analyze | n_ins_since_vacuum | last_vacuum | last_autovacuum               | last_analyze | last_autoanalyze              | vacuum_count | autovacuum_count | analyze_count | autoanalyze_count |
| 16979  | auth                | one_time_tokens            | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 57491  | cron                | job                        | 6        | 2026-03-05 09:33:48.943752+00 | 6            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16561  | storage             | objects                    | 6        | 2026-03-04 16:04:40.413353+00 | 58           | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 82174  | public              | social_likes               | 12       | 2026-03-06 08:32:55.825085+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 212123 | public              | password_changes           | 2        | 2026-03-03 07:17:29.335429+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 212194 | public              | program_daily_trends       | 2        | 2026-03-03 07:18:10.570185+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 92789  | public              | group_members              | 0        | null                          | 0            | 29       | 2026-03-05 12:43:20.130871+00 | 732           | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 212171 | public              | program_analytics          | 2        | 2026-03-03 07:18:04.652039+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16495  | auth                | users                      | 289      | 2026-03-06 09:43:50.180235+00 | 639          | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 17246  | storage             | buckets_analytics          | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 200390 | auth                | custom_oauth_providers     | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 17283  | storage             | vector_indexes             | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16507  | auth                | refresh_tokens             | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 85685  | public              | kv_store_28f2f653          | 41394    | 2026-03-06 09:43:26.810307+00 | 248364       | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 17472  | realtime            | messages                   | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 152486 | public              | sitewise                   | 2749     | 2026-03-06 09:20:21.715061+00 | 12377892     | 1        | 2026-03-04 07:23:08.698083+00 | 100           | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16533  | auth                | schema_migrations          | 69       | 2026-02-27 11:17:42.934044+00 | 2897         | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 36702  | public              | user_challenges            | 1        | 2026-03-04 07:23:13.151189+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 133863 | public              | user_sessions              | 69       | 2026-03-06 09:18:35.6885+00   | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
